file,family,domain,domain_length,total_contacts,total_hbonds,total_salt,total_hydrophobic,alpha_contacts,beta_contacts,interface_residues,mean_plddt
camsap1_cc1_cc2_linker_tubulin_complex_model.cif,CAMSAP1,cc1_cc2_linker,106,371,42,9,35,117,254,49,20.38665438
camsap1_cc1_tubulin_complex_model.cif,CAMSAP1,cc1,37,88,12,5,10,13,75,12,40.67504246
camsap1_cc2_cc3_linker_tubulin_complex_model.cif,CAMSAP1,cc2_cc3_linker,242,551,58,19,46,229,322,60,25.07851656
camsap1_cc2_tubulin_complex_model.cif,CAMSAP1,cc2,33,403,27,1,49,196,207,22,35.08004533
camsap1_cc3_ckk_linker_tubulin_complex_model.cif,CAMSAP1,cc3_ckk_linker,119,350,39,13,22,206,144,41,23.04150802
camsap1_cc3_tubulin_complex_model.cif,CAMSAP1,cc3,53,156,28,9,11,73,83,23,45.05817938
camsap1_cc_ckk_tubulin_complex_model.cif,CAMSAP1,cc,471,336,44,20,52,187,149,52,44.43746795
camsap1_cc_ckk_tubulin_complex_model.cif,CAMSAP1,cc3_ckk_linker,119,113,16,3,0,84,29,13,34.57272047
camsap1_cc_ckk_tubulin_complex_model.cif,CAMSAP1,ckk,135,26,7,5,0,0,26,4,71.07041122
camsap1_cc_tubulin_complex_model.cif,CAMSAP1,cc,471,319,27,12,93,281,38,33,41.18621607
camsap1_ch_cc1_linker_tubulin_complex_model.cif,CAMSAP1,ch_cc1_linker,541,1063,115,41,67,543,520,157,24.47186062
camsap1_ch_cc_tubulin_complex_model.cif,CAMSAP1,ch,116,40,7,2,0,38,2,7,70.74227695
camsap1_ch_cc_tubulin_complex_model.cif,CAMSAP1,ch_cc1_linker,541,709,73,11,91,525,184,59,32.27747807
camsap1_ch_cc_tubulin_complex_model.cif,CAMSAP1,cc,471,100,18,14,12,85,15,18,40.04932689
camsap1_ch_ckk_tubulin_complex_model.cif,CAMSAP1,ch,116,491,56,4,3,448,43,32,60.81586842
camsap1_ch_ckk_tubulin_complex_model.cif,CAMSAP1,linker,10,0,0,0,0,0,0,0,38.09125
camsap1_ch_ckk_tubulin_complex_model.cif,CAMSAP1,ckk,135,337,43,9,16,102,235,24,67.72883787
camsap1_ch_tubulin_complex_model.cif,CAMSAP1,ch,116,304,22,6,26,101,203,27,67.86413919
camsap1_ckk_tubulin_complex_model.cif,CAMSAP1,ckk,135,378,50,17,23,101,277,50,79.73893616
camsap1_c_terminus_tubulin_complex_model.cif,CAMSAP1,c_terminus,5,78,7,0,2,38,40,5,22.73447706
camsap1_delcc_tubulin_complex_model.cif,CAMSAP1,n_terminus,215,62,8,0,5,61,1,9,73.19386529
camsap1_delcc_tubulin_complex_model.cif,CAMSAP1,ch,116,0,0,0,0,0,0,0,73.42915779
camsap1_delcc_tubulin_complex_model.cif,CAMSAP1,ch_cc1_linker,541,385,39,10,32,293,92,46,33.06202981
camsap1_delcc_tubulin_complex_model.cif,CAMSAP1,cc3_ckk_linker,119,0,0,0,0,0,0,0,33.91277816
camsap1_delcc_tubulin_complex_model.cif,CAMSAP1,ckk,135,143,21,7,0,57,86,11,69.31543406
camsap1_delcc_tubulin_complex_model.cif,CAMSAP1,c_terminus,5,0,0,0,0,0,0,0,30.68883348
camsap1_delch_tubulin_complex_model.cif,CAMSAP1,n_terminus,215,9,3,1,0,9,0,2,71.59265941
camsap1_delch_tubulin_complex_model.cif,CAMSAP1,ch_cc1_linker,541,318,34,8,39,66,252,40,31.97425698
camsap1_delch_tubulin_complex_model.cif,CAMSAP1,cc1,37,13,5,3,0,13,0,4,62.6407076
camsap1_delch_tubulin_complex_model.cif,CAMSAP1,cc1_cc2_linker,106,0,0,0,0,0,0,0,35.57348507
camsap1_delch_tubulin_complex_model.cif,CAMSAP1,cc2,33,0,0,0,0,0,0,0,66.7213931
camsap1_delch_tubulin_complex_model.cif,CAMSAP1,cc2_cc3_linker,242,169,15,4,55,169,0,17,35.15615567
camsap1_delch_tubulin_complex_model.cif,CAMSAP1,cc3,53,111,24,18,1,57,54,15,69.63124843
camsap1_delch_tubulin_complex_model.cif,CAMSAP1,cc3_ckk_linker,119,65,6,2,2,25,40,10,37.62666286
camsap1_delch_tubulin_complex_model.cif,CAMSAP1,ckk,135,326,48,22,11,89,237,48,81.24936828
camsap1_delch_tubulin_complex_model.cif,CAMSAP1,c_terminus,5,0,0,0,0,0,0,0,31.62909466
camsap1_delckk_tubulin_complex_model.cif,CAMSAP1,n_terminus,215,92,12,0,2,39,53,17,72.61180134
camsap1_delckk_tubulin_complex_model.cif,CAMSAP1,ch,116,1,1,0,0,0,1,1,74.43511487
camsap1_delckk_tubulin_complex_model.cif,CAMSAP1,ch_cc1_linker,541,28,4,0,0,10,18,4,33.29802767
camsap1_delckk_tubulin_complex_model.cif,CAMSAP1,cc1,37,38,6,0,0,0,38,3,60.24603182
camsap1_delckk_tubulin_complex_model.cif,CAMSAP1,cc1_cc2_linker,106,64,6,4,0,0,64,10,35.30053683
camsap1_delckk_tubulin_complex_model.cif,CAMSAP1,cc2,33,0,0,0,0,0,0,0,62.07180002
camsap1_delckk_tubulin_complex_model.cif,CAMSAP1,cc2_cc3_linker,242,132,16,4,39,132,0,14,34.19653654
camsap1_delckk_tubulin_complex_model.cif,CAMSAP1,cc3,53,102,24,19,2,43,59,16,70.64278028
camsap1_delckk_tubulin_complex_model.cif,CAMSAP1,cc3_ckk_linker,119,100,17,8,0,68,32,14,35.87888136
camsap1_delckk_tubulin_complex_model.cif,CAMSAP1,c_terminus,5,0,0,0,0,0,0,0,28.60753391
camsap1_full_tubulin_complex_model.cif,CAMSAP1,n_terminus,215,16,2,0,0,0,16,4,73.2621361
camsap1_full_tubulin_complex_model.cif,CAMSAP1,ch,116,0,0,0,0,0,0,0,74.25454128
camsap1_full_tubulin_complex_model.cif,CAMSAP1,ch_cc1_linker,541,149,19,9,5,145,4,24,34.59554875
camsap1_full_tubulin_complex_model.cif,CAMSAP1,cc1,37,0,0,0,0,0,0,0,63.23936775
camsap1_full_tubulin_complex_model.cif,CAMSAP1,cc1_cc2_linker,106,6,0,2,0,6,0,2,35.32730833
camsap1_full_tubulin_complex_model.cif,CAMSAP1,cc2,33,0,0,0,0,0,0,0,65.03968182
camsap1_full_tubulin_complex_model.cif,CAMSAP1,cc2_cc3_linker,242,151,14,2,53,151,0,20,35.81933255
camsap1_full_tubulin_complex_model.cif,CAMSAP1,cc3,53,98,23,19,1,46,52,14,70.34309131
camsap1_full_tubulin_complex_model.cif,CAMSAP1,cc3_ckk_linker,119,81,8,5,2,50,31,15,35.31473427
