file,camsap_length,interface_residues,total_contacts,total_hbonds,total_salt,total_hydrophobic,alpha_contacts,beta_contacts,mean_plddt
camsap1_cc1_cc2_linker_tubulin_complex_model.cif,106,49,371,42,9,35,117,254,20.386654384137877
camsap1_cc1_tubulin_complex_model.cif,37,12,88,12,5,10,13,75,40.67504246129246
camsap1_cc2_cc3_linker_tubulin_complex_model.cif,242,60,551,58,19,46,229,322,25.078516558739704
camsap1_cc2_tubulin_complex_model.cif,33,22,403,27,1,49,196,207,35.08004533429533
camsap1_cc3_ckk_linker_tubulin_complex_model.cif,119,41,350,39,13,22,206,144,23.041508015327345
camsap1_cc3_tubulin_complex_model.cif,53,23,156,28,9,11,73,83,45.05817938141523
camsap1_cc_ckk_tubulin_complex_model.cif,725,69,475,67,28,52,271,204,47.777526418370904
camsap1_cc_tubulin_complex_model.cif,471,33,319,27,12,93,281,38,41.186216070317975
camsap1_ch_cc1_linker_tubulin_complex_model.cif,541,157,1063,115,41,67,543,520,24.47186062499833
camsap1_ch_cc_tubulin_complex_model.cif,1128,84,849,98,27,103,648,201,39.47823823595632
camsap1_ch_ckk_tubulin_complex_model.cif,261,56,828,99,13,19,550,278,63.520867239720694
camsap1_ch_tubulin_complex_model.cif,116,27,304,22,6,26,101,203,67.86413919055083
camsap1_ckk_tubulin_complex_model.cif,135,50,378,50,17,23,101,277,79.73893615787505
camsap1_c_terminus_tubulin_complex_model.cif,5,5,78,7,0,2,38,40,22.734477056277058
camsap1_delcc_tubulin_complex_model.cif,1131,66,590,68,17,37,411,179,49.237550693878276
camsap1_delch_tubulin_complex_model.cif,1486,136,1011,135,58,108,428,583,46.28763477740295
camsap1_delckk_tubulin_complex_model.cif,1467,79,557,86,35,43,292,265,45.475001237420464
camsap1_full_tubulin_complex_model.cif,1602,99,618,80,39,72,424,194,48.40350840106973
camsap1_n_terminus_tubulin_complex_model.cif,215,14,128,15,2,3,20,108,70.79395039766435
camsap2_cc1_cc2_linker_tubulin_complex_model.cif,93,19,202,18,7,24,83,119,20.140581789476954
camsap2_cc2_cc3_linker_tubulin_complex_model.cif,239,58,742,78,12,141,178,564,25.433282588285728
camsap2_cc2_tubulin_complex_model.cif,40,31,543,47,7,38,233,310,36.61643359487734
camsap2_cc3_ckk_linker_tubulin_complex_model.cif,110,40,292,24,9,33,112,180,21.56833776072412
camsap2_cc3_tubulin_complex_model.cif,73,28,222,36,18,2,164,58,46.86171505169107
camsap2_cc_ckk_tubulin_complex_model.cif,728,98,1128,136,36,78,513,615,47.130282155840185
camsap2_cc_tubulin_complex_model.cif,483,75,700,85,37,83,565,135,40.707849746354405
camsap2_ch_cc1_linker_tubulin_complex_model.cif,420,129,2522,252,32,456,1233,1289,26.183735470349756
camsap2_ch_cc_tubulin_complex_model.cif,1017,96,541,60,27,22,364,177,38.423256227466396
camsap2_ch_ckk_tubulin_complex_model.cif,259,44,239,34,18,27,108,131,68.64375296678868
camsap2_ch_tubulin_complex_model.cif,114,17,157,13,3,29,91,66,66.66549000341763
camsap2_ckk_tubulin_complex_model.cif,135,17,92,12,10,10,5,87,71.4488188178077
camsap2_delcc_tubulin_complex_model.cif,1006,92,760,84,26,72,271,489,50.56877117561585
camsap2_delch_tubulin_complex_model.cif,1375,164,1685,201,52,159,390,1295,47.30223516620753
camsap2_delckk_tubulin_complex_model.cif,1354,101,1049,129,41,92,532,517,46.40620479670092
camsap2_full_tubulin_complex_model.cif,1489,136,979,122,40,106,372,607,49.87105469862202
camsap2_n_terminus_tubulin_complex_model.cif,221,12,172,19,2,24,107,65,70.66712363943246
camsap3_cc1_cc2_linker_tubulin_complex_model.cif,67,40,430,47,6,57,172,258,20.31633401714372
camsap3_cc1_tubulin_complex_model.cif,35,27,700,61,6,12,246,454,39.06958903318904
camsap3_cc2_cc3_linker_tubulin_complex_model.cif,166,67,749,93,20,82,418,331,26.10233589987656
camsap3_cc2_tubulin_complex_model.cif,34,26,892,87,2,110,472,420,36.49082062218827
camsap3_cc3_ckk_linker_tubulin_complex_model.cif,172,70,691,79,13,42,317,374,27.098448920265785
camsap3_cc3_tubulin_complex_model.cif,41,14,92,9,9,11,86,6,51.46167338894168
camsap3_cc_ckk_tubulin_complex_model.cif,650,64,498,54,21,48,442,56,48.10096615273615
camsap3_cc_tubulin_complex_model.cif,343,42,299,30,16,45,297,2,45.17335050526086
camsap3_ch_cc1_linker_tubulin_complex_model.cif,281,65,625,45,3,67,255,370,29.488595777295068
camsap3_ch_cc_tubulin_complex_model.cif,734,108,895,112,39,91,648,247,42.721846817729656
camsap3_ch_ckk_tubulin_complex_model.cif,255,40,282,35,9,43,145,137,68.15611991907875
camsap3_ch_tubulin_complex_model.cif,110,15,121,17,1,5,64,57,64.89770302702348
camsap3_ckk_tubulin_complex_model.cif,135,7,37,6,6,0,6,31,69.32322205119983
camsap3_delcc_tubulin_complex_model.cif,906,95,845,78,28,111,379,466,52.40650563861574
camsap3_delch_tubulin_complex_model.cif,1139,117,979,116,33,93,684,295,46.018773514335635
camsap3_delckk_tubulin_complex_model.cif,1114,130,1718,206,43,143,1319,399,47.01111804405948
camsap3_full_tubulin_complex_model.cif,1249,106,1135,114,22,147,759,376,50.985578577147436
camsap3_n_terminus_tubulin_complex_model.cif,202,74,1774,146,15,234,1765,9,66.71341755068364
